Date,Event,Type
1990-08-02,Invasion of Kuwait,Conflict
1991-01-17,Operation Desert Storm,Conflict
1997-07-01,Asian Financial Crisis,Economic
2001-09-11,9/11 Attacks,Geopolitical
2003-03-20,Iraq War Start,Conflict
2008-07-11,Global Financial Crisis Peak,Economic
2011-02-15,Libyan Civil War / Arab Spring,Geopolitical
2014-11-27,OPEC Thanksgiving Policy Shift,Policy
2016-11-30,OPEC+ Formation (Vienna),Policy
2018-05-08,US Withdrawal from JCPOA (Iran),Sanctions
2020-03-06,Russia-Saudi Price War,Policy
2020-04-20,COVID-19 Negative Demand Shock,Economic
2021-03-23,Ever Given Suez Canal Blockage,Logistics
2022-02-24,Russia-Ukraine War,Conflict
2022-05-30,EU Embargo on Russian Oil,Sanctions
